X,Y,OBJECTID,FECHA,Positivas,Negativas,TOTALES,XCOORD,YCOORD,Pruebas_dia,GlobalID
,,71,2020/05/11 19:32:39.890+00,8616,33556,43663,526296.889053,932307.407911,1006,69d855da-cd0f-4eae-b464-7ddb97b9d35c
,,72,2020/05/12 15:00:00+00,8783,35778,44561,526296.889053,932307.407911,898,14d8d284-592c-427a-aaf3-6d2005167d5b
,,73,2020/05/13 23:00:00+00,8944,35358,45873,526296.889053,932307.407911,1422,18629982-bff1-4e1e-bb19-7b28964e1de6
,,76,2020/05/14 20:00:00+00,9118,36103,46898,526296.889053,932307.407911,1025,c9c41665-d05e-47b7-957b-c37a54285f27
,,77,2020/05/15 22:00:00+00,9268,36821,47768,526296.889053,932307.407911,1679,1245a8a4-3317-48a3-83c7-ac8a95ca3e0e
,,81,2020/05/16 19:13:20.149+00,9449,37935,49104,526296.889053,932307.407911,1336,ed699188-92f9-4fb0-ba9e-9a7f0f285e55
,,82,2020/05/17 22:00:00+00,9606,38993,50348,526296.889053,932307.407911,1244,d4c79de2-b9bc-48dd-b6b2-78d1377709f1
,,83,2020/05/18 22:51:38.465+00,9726,39586,51105,526296.889053,932307.407911,757,81cf9fbe-e394-459a-b4a2-c89beb0570aa
,,84,2020/05/19 17:00:00+00,9867,40142,51815,526296.889053,932307.407911,710,f7094cd2-68af-44e7-b389-cd88f2ac7925
,,85,2020/05/20 21:14:07.004+00,9977,40821,52641,526296.889053,932307.407911,826,03c801ec-b14d-43a9-a777-81d1966f2e7f
,,86,2020/05/21 21:00:00+00,10116,41932,53928,526296.889053,932307.407911,1287,8a5661df-c096-4e0a-a403-1c03d9860fbb
,,87,2020/05/22 22:00:00+00,10267,42806,55018,526296.889053,932307.407911,1090,c49ab6b4-f1b3-4971-b509-9d46e3f415df
,,88,2020/05/23 21:00:00+00,10577,44165,56755,526296.889053,932307.407911,1737,e2e7df89-4c80-4307-a688-1b48eeeac540
,,89,2020/05/24 20:16:35.597+00,10926,45272,58240,526296.889053,932307.407911,1485,25413b38-20d5-489d-8d56-0b9f911b292a
,,90,2020/05/25 19:00:00+00,11183,46071,59339,526296.889053,932307.407911,1099,9e2935ce-9429-401e-994d-960ae8bba2e6
